1,Michigan State,16 & 2
2,Ohio State,15 & 3
3,Purdue,15 & 3
4,Nebraska,13 & 5
5,Michigan,13 & 5
6,Indiana,9 & 9
7,Penn State,9 & 9
8,Maryland,8 & 10
9,Wisconsin,7 & 11
10,Northwestern,6 & 12
11,Minnesota,4 & 14
12,Iowa,4 & 14
13,Illinois,4 & 14
14,Rutgers,3 & 15
